listing_id,id,date,reviewer_id,reviewer_name,comments
2992450,15066586,01-07-2014,16827297,Kristen,"Large apartment; nice kitchen and bathroom. Kenneth left drinks for us which was so nice. His cousin lives upstairs, and she was very nice and helpful, too. The internet only worked about half the time, and everything on the street can be heard from the main bedroom. Wonderful stay- it was exactly what we needed. It is not in the best area of town, but I never felt unsafe. "
2992450,21810844,24-10-2014,22648856,Christopher,"This may be a little late, but just to say Kenneth was quick to respond to our request. He left some supplies in the refrigerator and kindly showed us round downtown Albany. We were without a car and he arranged for his cousin Kristina to take us to  supermarket.<br/>The apartment is large, clean with many original features. It is situated in an historical area that is fairly central, although like the rest of Albany you have to climb a steep hill to get to it if you are on foot. <br/>"
2992450,27434334,04-03-2015,45406,Altay,"The apartment was very clean and convenient to downtown. One thing to keep in mind: one bedroom is huge and the other is tiny, so if you're traveling with a friend you might have to flip a coin. :)"
2992450,28524578,25-03-2015,5485362,John,"Kenneth was ready when I got there and arranged for the upstairs neighbor to meet me at the door with the keys.  Shortly after that I was left on my own in the privacy of this large 2 BR apartment - just like I like it.   I really like my privacy and there was no time at which anyone came to visit me or bother me unannounced.  At one point Kenneth had to pic up a refrigerator stored in the apartment, but the neighbor lady gave me plenty of notice and I was on my way out before he got there.  When I returned the extra refrigerator was gone and I had the nice quiet apartment to myself.  At one point I went to take a shower and found some body wash in a drawer.  That was nice since all I brought with me was shampoo.    The apartment is a city street apartment meaning that like many two family homes the BR window is feet away from the public sidewalk and you can hear people all hours of the night walking by and conversing, but its not terribly disruptive.  Overall the apartment was just what I needed and I had an enjoyable time while there.  The heat worked perfectly and the apartment was picked up.  The bed was a king size and very comfortable with sensible pillows and coverings.  The water pressure on the shower was awesome."
2992450,35913434,23-06-2015,15772025,Jennifer,"We were pleased to see how 2nd Street and the Ten Broeck neighborhood in Albany have come along. Its great to see all of the gorgeous brownstones, including the one we stayed in, being renovated and cared for.<br/>In terms of quality, I was pleased by the courtesy of the host's friend who lived nearby. He was there to let us in and make sure I knew to call with any problems. With a full kitchen and two bedrooms, my daughter and I felt at home with plenty of space. As a native of Albany I'm used to thin windows and occasionally noisy neighbors. If you don't sleep well, don't take the master bedroom and be aware that loud music may be playing during the evening and weekend. But there is a fan/ac unit to drown out the din from the street.<br/>This space has been renovated and a vast improvement I'm sure from where it was, and I'm hoping progress will continue here as it seemed a few projects were incomplete. I would have loved to enjoy more sunlight in the house but there was a ton of tree debris in the back yard so there was no way to enjoy opening the windows.<br/>On my own, this place was fine, but if traveling with my child again I will probably pick a quieter location where I'd be able to open windows or put her down for a nap without worrying about excessive noise."
2992450,38893053,19-07-2015,11614467,Stephanie,"The flat is not in a good area, while we were fine you do have to be careful (even our cab driver told us that) I wouldn't stay again. The flat also does not have air con- the large bedroom had an obnoxiously loud fan which kept the one room cool, the rest of the house is very hot. So if you are going to stay here bear these things in mind. "
2992450,57989144,31-12-2015,28580637,Betty,"The apartment was centrally located near all the night life in Albany, ideally suited to the age profile of my 2 sons who stayed their. ... We had initial difficulty in contacting the host...until we used my son who lives in Albany to be the contact, as we were relying on internet connection where ever we found free wifi..as roaming charges for international tourists is prohibitive. He went to the apartment a few times on the day we were yo arrive into JFK bit could not gain access...he was trying to get key so that he could leave basic provisions for us there. He eventually got an answer to the door bell..late evening.  The apartment was adequate for them as they spent most of their time with their brother who lives in Albany. They did say that the apartment was way too warm, and they could not see where to set the heating. One of the windows was broken but had plastic/perspex over it. The furniture was of a good enough standard but the couch was a little shabby and their was a musty smell from it. Other than those  facts they said the place was ideal for them and the contact person was very obliging considering they locked themselves out once and needed access ."
2992450,4.57367E+17,22-09-2021,413779309,Carolina,The place is clean and the host is very nice
2992450,6.95544E+17,17-08-2022,19928494,Kyle,It was much dirtier in person and half the furniture was broken. Hopefully the host can fix these issues because the apartment could be nice if it is cleaned up correctly and furnished with items that weren’t all broken such as the Tv being propped up on a table with two screws.
3820211,17665203,15-08-2014,11024290,Abigail,We had a marvelous time staying at Terra's beautiful apartment in downtown Albany.  The location was perfect and the apartment was just splendid.  Terra was very responsive to our inquiries and flexible.  Could not have been happier.
