id,listing_url,name,description,host_id,host_name,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_verifications,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,number_of_reviews,review_scores_rating
2992450,https://www.airbnb.com/rooms/2992450,Luxury 2 bedroom apartment,"The apartment is located in a quiet neighborhood . Fully furnished. Linens and towels are provided. It's two blocks away from downtown Albany, and the Palace theater.",4621559,Kenneth,07/01/13,"New York, NY",N/A,N/A,100%,f,1,5,"['email', 'phone']",Entire rental unit,Entire home/apt,4,1,1 bath,2,2,9,3.56
3820211,https://www.airbnb.com/rooms/3820211,Restored Precinct in Center Sq. w/Parking,"Cozy, cool little 1BR Apt in the heart Albany's Center Sq. close to everything.  Enjoy the hip, walking neighborhood and verdant Washington Park in a neighborhood with great eats, architecture and culture... Everything you need down to the corkscrew.",19648678,Terra,07/08/14,,within a few hours,100%,76%,f,4,7,"['email', 'phone']",Entire rental unit,Entire home/apt,2,1,1 bath,1,1,305,4.75
5651579,https://www.airbnb.com/rooms/5651579,Large studio apt  by Capital Center & ESP@,"Spacious studio with hardwood floors, fully equipped kitchen, clean and bright. Large modern bath .  Full Cable TV and WiFi. Walking distance to the new Renaissance Hotel.<br />Walk to everything downtown! The Empire Plaza  and the Egg are  across the street.You can't get any closer, to the MVP Arena,  as well as Restaurants, bars, churches. Walk to  Capital and the new Capital Convention Center. Laundry facilities in the apartment",29288920,Gregg,13/03/15,"Albany, NY",within an hour,100%,99%,f,2,2,"['email', 'phone', 'work_email']",Entire rental unit,Entire home/apt,2,1,1 bath,0,1,366,4.51
6623339,https://www.airbnb.com/rooms/6623339,Center Sq. Loft in Converted Precinct w/ Parking,"Large renovated 1 bedroom apartment in converted police precinct with original tin ceilings. Center Square-the ""village in the city."" Located in a restored police precinct, you are within walking distance of everything, including verdant Washington Park, restaurants and pubs of Lark St., the state capitol, downtown, Albany Med/Law/Pharmacy.",19648678,Terra,07/08/14,,within a few hours,100%,76%,f,4,7,"['email', 'phone']",Entire rental unit,Entire home/apt,2,1,1 bath,1,1,328,4.73
8035768,https://www.airbnb.com/rooms/8035768,Entire Beautiful French Victorian 1884,"Stunningly renovated French Victorian originally built in 1884 .  Two finely furnished bedrooms are available.  King or Queen size beds, down quilts, large closets, Wireless internet, apple TV, NETFLIX, and Direct TV HD Television, central A/C. All ideally located near the edge of Washington Park and Downtown Albany 's Entertainment and fine Dining. Walking distance from Albany Medical Center, St Rose College, Albany Law School.  On a main bus line. Off Street private parking is also provided.",42430824,John M,24/08/15,,within a day,67%,50%,f,2,3,"['email', 'phone']",Entire home,Entire home/apt,6,3.5,3.5 baths,3,3,56,4.75
8035784,https://www.airbnb.com/rooms/8035784,Delightful French Victorian,"Stunningly renovated French Victorian originally built in 1884 .  Two finely furnished bedrooms are available.  King or Queen size beds, down quilts, large closets, Wireless internet, apple TV, NETFLIX, and Direct TV HD Television, central A/C. All ideally located near the edge of Washington Park and Downtown Albany 's Entertainment and fine Dining. Walking distance from Albany Medical Center, St Rose College, Albany Law School.  On a main bus line. Off Street private parking is also provided.",42430824,John M,24/08/15,,within a day,67%,50%,f,2,3,"['email', 'phone']",Private room in home,Private room,2,2.5,2.5 shared baths,1,1,18,4.61
9005989,https://www.airbnb.com/rooms/9005989,"Studio in The heart of Center SQ, in Albany NY","(21 years of age or older ONLY) NON- SMOKING.. NO PARTIES Allowed.  Cozy basement apartment in a historic brownstone in the heart of ""Center Square"".  Surrounded by shops, restaurants, and night life. Walking distance to Albany Med, State Offices, The State Capital, and The Empire State Plaza. 30 mins from Saratoga Raceway. 50 mins from Lake George. 1/2 mile Palace theater",17766924,Sugey,07/07/14,"Albany, NY",within an hour,100%,100%,f,1,1,"['email', 'phone']",Entire rental unit,Entire home/apt,4,1,1 bath,1,2,598,4.79
9501054,https://www.airbnb.com/rooms/9501054,Spacious suite with full bath by Capital  Center,"Great location within walking distance to the Capital. It is a good size bedroom with WiFi internet . Private full bath.  We provide in the room a small refrigerator, Microwave ,coffee pot,iron ,hair dryer and  TV. Lots of entertainment nearby. Brew pubs, restaurants, the NYS Museum. Governor's Mansion. Washington Park.Capital Rep Theater as well as the Palace Theater.",29288920,Gregg,13/03/15,"Albany, NY",within an hour,100%,99%,f,2,2,"['email', 'phone', 'work_email']",Private room in rental unit,Private room,2,1,1 private bath,1,2,392,4.54
10768745,https://www.airbnb.com/rooms/10768745,Alb hospital area studio bath wifi. (Red),Spacious warm studio in 1840 house close to hospitals and downtown. Own bath flat screen cable tv wireless internet ground floor. Double bed coffee tea fridge microwave and parking. Suit 1. On park walk to post office cvs Chinese sports bar. Comfortable and decorated with taste. Irish host,5691268,Elizabeth,30/03/13,"Albany, NY",within an hour,98%,92%,t,2,3,"['email', 'phone']",Entire home,Entire home/apt,1,1,1 bath,1,1,697,4.82
11253948,https://www.airbnb.com/rooms/11253948,/Fire Place Bungalow\ 1917 SUNY Eagle 6Beds 2Baths,"Cute single family bungalow (1200sqft) in a convenient location with the lots of restaurants, bars and shops right around the corner. <br /><br />Totally renovated with open floor plan.<br /><br />77” 2023 LG B3 OLED TV  just added to living room with Sonos surround + sub!<br /><br />3 Bedrooms with 1 King bed, 2 Queen beds, 1 Full sized bed and 2 airbeds can be added upon request.  Easy Parking two lane driveway by house.<br /><br />$50 pet fee, please inquire before booking, thank you!",4259750,Peter,27/11/12,"Albany, NY",within an hour,94%,88%,t,9,14,"['email', 'phone']",Entire place,Entire home/apt,10,2,2 baths,3,4,158,4.95
11639446,https://www.airbnb.com/rooms/11639446,$55twin($30 foreign student)FreeBF Noa/c no smoke,"Regular breakfast free<br /><br />Lunch packed $5<br />Dinner Plate $10<br /><br />We updated cleaning protocol because of COVID-19 pandemic<br /><br />OUR PRIORITY IS ORGANIC LIFE SO OTHER THING IS LESS IMPORTANT <br />FREE LAUNDRY <br />AIR CONDITIONING <br />No parking space on premises just street parking<br />.<br />Internet High speed WiFi,<br />This building is 100 years older.<br />We don't use chemical pesticides ,chemical cleaning stuff.We use Vinegar,baking powder,biological pesticides .<br />Therefore not fancy clea",61700428,Adam,05/03/16,"Albany, NY",within a few hours,100%,90%,f,2,2,"['email', 'phone']",Private room in home,Private room,1,1.5,1.5 shared baths,0,1,231,4.81
12284708,https://www.airbnb.com/rooms/12284708,"Well Lit Modern Room, Perfect Location Albany","Single family home with driveway close to Albany Med, St. Peter’s, St. Rose, U Albany, CDTA public transport, restaurants, downtown, and nightlife.",36438637,Chad,22/06/15,"Albany, NY",within an hour,100%,95%,,15,15,"['email', 'phone']",Private room in home,Private room,2,1,1 shared bath,1,1,61,4.61
12799126,https://www.airbnb.com/rooms/12799126,Private Room in the Hearth of the Albany,"Perfect location with clean comfortable private room surrounded by bars restaurants, market, parks and many more.",69729286,Musab,01/05/16,"Albany, NY",within an hour,100%,100%,f,2,2,"['email', 'phone']",Private room in rental unit,Private room,1,1,1 shared bath,1,1,28,4.82
13083497,https://www.airbnb.com/rooms/13083497,Pristine Cape Cod on the Creek - 4 Large Bedrooms,"Immaculate two level 3000 Sq. Ft. Bright & Sunny Cape Cod with 4 large bedrooms, Den, 2 full baths, living, dining & kitchen. Central Air & Heat. The house is situated in upscale Pine hills neighborhood on a quite dead end street with a Creek flowing through the back of the property. Peaceful & Serene View from Deck. Convenient location. Parking, local & international telephone calls, Cable TV & WiFi included.  Relax on the deck overlooking creek with nature sounds. Short drive  to Ski Resorts.",1364123,Akhilesh,02/11/11,"Albany, NY",within an hour,100%,100%,f,1,5,"['email', 'phone']",Entire home,Entire home/apt,8,2,2 baths,4,4,184,4.67
14316232,https://www.airbnb.com/rooms/14316232,"Unique Modern Room, Perfect Location Albany","Single family home with driveway close to Albany Med, St. Peter’s, St. Rose, U Albany, CDTA public transport, restaurants, downtown, and nightlife. <br /><br />Recently renovated room packed with basic amenities.",36438637,Chad,22/06/15,"Albany, NY",within an hour,100%,95%,,15,15,"['email', 'phone']",Private room in home,Private room,1,1,1 shared bath,1,1,51,4.67
14989805,https://www.airbnb.com/rooms/14989805,/Miller Colonial\ 1946 SUNY Eagle Hill 5Bed 2Baths,"My place is close to University of Albany, shopping malls and plazas, bars, restaurants, the airport, the city center, parks, art and culture. You’ll love my place because of the location, the ambiance, the outdoors space, fully renovated, newly furnished, nice yard, awesome double rear deck,  open floor plan and central air.   My place is good for couples, solo adventurers, business travelers, families (with kids), big groups, and furry friends ($50 pet fee w/ booties included).",4259750,Peter,27/11/12,"Albany, NY",within an hour,94%,88%,t,9,14,"['email', 'phone']",Entire home,Entire home/apt,7,2,2 baths,2,2,100,4.95
15580397,https://www.airbnb.com/rooms/15580397,Albany Med/Downtown Albany/Colleges/BLUE ROOM.,"Private bedroom, shared living room, and shared bathroom on the 2nd floor in my personal home with 2-3 guests or by yourself.   3 fans in each bedroom. Mini fridge, microwave, coffee maker, and toaster in the room.  No ac and no kitchen use. Self checkin Owner-occupied house. On bus lines.. You’ll love my place because of its uniqueness, location, and vintage finds.  Direct bus line to Greyhound, Amtrak,  Mall, Empire State Plaza, , MegabDtw Albany and Suny Albany.  Free street parking only.",89705052,Share,13/08/16,"Albany, NY",within an hour,100%,100%,t,4,9,"['email', 'phone']",Private room in home,Private room,2,1,1 shared bath,1,1,43,4.72
16531782,https://www.airbnb.com/rooms/16531782,On a little park in Albany pine hills. (Blue),,5691268,Elizabeth,30/03/13,"Albany, NY",within an hour,98%,92%,t,2,3,"['email', 'phone']",Entire rental unit,Entire home/apt,2,1,1 bath,1,1,425,4.74
17238066,https://www.airbnb.com/rooms/17238066,"$53($25 foreign student)Twin, noa/cno Smoke freeBF","IF YOUR PRIORITY IS GOOD NEIGHBORHOOD AND FANCY CLEAN HOUSE”DO NOT PRFER US”<br />IF YOUR PRIORITY IS “””SAFETY PLACE,GREEN LIFE AND ORGANIC NUTRITION””” YOU PREFER US<br />Important notice<br />We updated our cleaning protocol duo to COVID-19 pandemic.<br /><br />This room is not 5 stars hotel room.<br /> Before booking,read carefully about room description.<br />Breakfast free,Wi Fi high speed internet<br />We don't use chemical cleaning stuff.We use Vinegar,baking powder,biological pesticides .",61700428,Adam,05/03/16,"Albany, NY",within a few hours,100%,90%,f,2,2,"['email', 'phone']",Private room in home,Private room,1,1.5,1.5 shared baths,0,1,132,4.92
17514620,https://www.airbnb.com/rooms/17514620,Cozy Modern Room Perfect Location Albany,"Convenience and comfort is what you will find. Private bedroom offered in single family home with driveway close to Albany Med, St. Peter’s, St. Rose, U Albany, CDTA public transport, restaurants, downtown, and nightlife.<br />Full kitchen available with comfortable living room and full bathroom.<br />Hosted multiple medical professionals, students, state interns, and more!<br /><br />House is a 4 bedroom 1 bath home.",36438637,Chad,22/06/15,"Albany, NY",within an hour,100%,95%,,15,15,"['email', 'phone']",Private room in home,Private room,1,1,1 shared bath,1,1,54,4.74
18341426,https://www.airbnb.com/rooms/18341426,/Sauna Ranch 1961\ SUNY Eagle Hill 4Beds 1Bath,"Cute single family home in a convenient location with the lots of restaurants, bars and shops right around the corner. <br /><br /> It features  a driveway with covered parking, a nice outdoor area with seating, lounging and a weber 3 burner propane grill.   The home has central air and a 5 person Clearlight Premier IS-5 infrared cedar sauna by Jacuzzi. <br /><br />My place is close to University of Albany, tennis, shopping malls and plazas, bars, restaurants, the airport, the city center, parks, art and culture.",4259750,Peter,27/11/12,"Albany, NY",within an hour,94%,88%,t,9,14,"['email', 'phone']",Entire home,Entire home/apt,6,1,1 bath,2,3,58,4.97
19527043,https://www.airbnb.com/rooms/19527043,Charming 1 Bedroom in a Historic Residential Home,"Urban Oasis!  2nd Floor master bedroom in residential home.  Queen sized bed. Private bath. Mini-refrigerator, microwave and sitting area in room. Shared entrance but access to full kitchen, bath, bedroom, laundry and parking. Walking distance to Albany Med, Albany Pharmacy, Albany Law School, College of St. Rose and Sage College.  On Main bus line.  10 minute drive from downtown",15223767,Ed,07/05/14,"Albany, NY",within an hour,100%,92%,t,3,3,"['email', 'phone', 'work_email']",Private room in home,Private room,2,1,1 private bath,1,1,80,4.96
19571496,https://www.airbnb.com/rooms/19571496,Modern Studio Perfect Location Albany,"Spacious private floor in uptown Albany. <br />Enjoy your own living room that was recently renovated and furnished.<br /><br />Single family home with driveway close to Albany Med, St. Peter’s, St. Rose, U Albany, CDTA public transport, restaurants, downtown, and nightlife.",36438637,Chad,22/06/15,"Albany, NY",within an hour,100%,95%,,15,15,"['email', 'phone']",Private room in home,Private room,2,1,1 shared bath,2,1,27,4.59
20519885,https://www.airbnb.com/rooms/20519885,All The Comforts Of Home For You In Albany,"Our spacious 2048 sq. ft. 5 bedroom. 2 bath, house is the perfect place for serious minded groups. <br /><br />We welcome business travelers and family travelers looking for a quiet, sanitized gorgeous home for extended stays in the city. Our reviews emphasize that we offer the comfortable accommodations to meet all of your needed expectations. <br /><br />We offer a 30% discount for monthly stays!<br /><br />Welcome to Albany",67171774,Michael And Flerida,14/04/16,"Stamford, NY",within an hour,100%,100%,t,1,1,"['email', 'phone']",Entire home,Entire home/apt,9,2,2 baths,5,6,101,4.92
20620135,https://www.airbnb.com/rooms/20620135,/Red Warhol Ranch\ 1959 SUNY Eagle Hill 4beds1Bath,"Cute single family home in a convenient location with the lots of restaurants, bars and shops right around the corner. It features a driveway with covered parking, a nice outdoor area and central air. My place is close to University of Albany, shopping malls and plazas, bars, restaurants, the airport, the city center, parks, art and culture. Parties and events are not allowed.",4259750,Peter,27/11/12,"Albany, NY",within an hour,94%,88%,t,9,14,"['email', 'phone']",Entire home,Entire home/apt,6,1,1 bath,2,3,57,4.93
